data_5,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
data_6,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1
data_19,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
data_22,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
data_27,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1
data_28,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1
data_37,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1
data_39,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1
data_42,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1
data_50,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
data_51,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
data_53,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
data_56,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
data_57,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
data_61,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
data_62,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0
data_64,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
data_67,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
data_72,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
data_76,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
data_86,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0
data_87,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0
data_88,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
data_92,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
data_93,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
data_94,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
data_99,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
data_103,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0
data_107,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
data_111,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
data_114,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1
data_116,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0
data_117,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
data_119,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
data_120,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0
data_124,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
data_130,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1
data_132,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
data_134,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0
data_135,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0
