data_4,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
data_7,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
data_9,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0
data_10,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
data_11,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
data_13,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
data_15,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0
data_19,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
data_23,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
data_25,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
data_26,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
data_37,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
data_39,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
data_40,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
data_42,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0
data_44,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
data_50,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
data_58,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0
data_60,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
data_61,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0
data_62,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
data_63,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0
data_65,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0
data_66,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
data_68,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1
data_69,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
data_70,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1
data_71,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0
data_72,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1
data_75,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
data_79,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
data_85,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1
data_87,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1
data_89,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0
data_90,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1
data_93,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
data_94,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
data_95,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1
data_96,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
data_98,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0
data_100,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
data_101,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0
data_102,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0
data_107,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
data_108,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1
data_110,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
